pitch,phase,cycle,cat_cycle,participant,shift
223.244552693921,Baseline,0,1,8,-100
-11.0433540425485,Baseline,0,1,9,100
-23.7902555420923,Baseline,0,1,10,-100
22.4041399281483,Baseline,0,1,11,100
29.8702188804856,Baseline,0,1,12,-100
-87.701910989018,Baseline,0,1,13,100
45.3718165419988,Baseline,0,1,14,-100
29.8969401717981,Baseline,0,1,15,100
-104.780183759259,Baseline,0,1,16,100
-62.7566439058202,Baseline,0,1,17,100
83.639775792651,Baseline,0,1,18,-100
-21.7450942629479,Baseline,0,1,19,100
-60.943486913494,Baseline,0,1,20,-100
-73.0389363606122,Baseline,0,1,3,-100
-0.797315064501371,Baseline,0,1,4,100
-23.1356789463227,Baseline,0,1,5,100
12.8739338535064,Baseline,0,1,6,-100
94.0070290052977,Baseline,0,1,7,100
-49.5044336901364,Baseline,0,1,9,100
11.5638472666432,Baseline,0,1,10,-100
-67.1537420513063,Baseline,0,1,12,-100
33.7827311083063,Baseline,0,1,13,100
-49.5502210955652,Baseline,0,1,14,-100
46.3853882173144,Baseline,0,1,15,100
-90.2122374311247,Baseline,0,1,16,100
-47.5297631602814,Baseline,0,1,17,100
77.8367914826527,Baseline,0,1,18,-100
-42.7151830822803,Baseline,0,1,19,100
-32.9985611604918,Baseline,0,1,20,-100
-19.6604766712297,Baseline,0,1,2,100
-14.4201167682561,Baseline,0,1,3,-100
-22.2522928311372,Baseline,0,1,4,100
-57.2217289754323,Baseline,0,1,5,100
16.8564409887029,Baseline,0,1,6,-100
13.6259374674574,Baseline,0,1,7,100
81.7628737285786,Baseline,0,1,8,-100
48.0081736527252,Baseline,0,1,9,100
-22.5954213291811,Baseline,0,1,10,-100
-20.8884700181482,Baseline,0,1,11,100
-26.4233673240013,Baseline,0,1,12,-100
-85.3294991952985,Baseline,0,1,13,100
40.4207019753418,Baseline,0,1,14,-100
9.00509246679284,Baseline,0,1,15,100
-70.7810621490068,Baseline,0,1,16,100
-66.699735677934,Baseline,0,1,17,100
68.6504243870683,Baseline,0,1,18,-100
-78.9945876084697,Baseline,0,1,20,-100
268.479682099059,Hold,0,1,1,-100
-6.17981282456673,Hold,0,1,2,100
-126.196847757561,Hold,0,1,3,-100
-9.02616824976946,Hold,0,1,4,100
22.9476670483531,Hold,0,1,5,100
-18.7921341395637,Hold,0,1,6,-100
-102.670331500599,Hold,0,1,7,100
91.1944050446891,Hold,0,1,8,-100
-56.9040345193551,Hold,0,1,9,100
24.5651694639284,Hold,0,1,10,-100
-47.5768907276109,Hold,0,1,12,-100
-73.8570005950899,Hold,0,1,13,100
182.958926638543,Hold,0,1,14,-100
10.3651483495537,Hold,0,1,15,100
-90.5750311497466,Hold,0,1,16,100
45.613457535768,Hold,0,1,17,100
30.0846652471712,Hold,0,1,18,-100
-5.79908138633802,Hold,0,1,20,-100
85.1525155385119,Hold,0,1,1,-100
23.8859990091113,Hold,0,1,2,100
1.25756533782068,Hold,0,1,3,-100
18.4597179990306,Hold,0,1,4,100
9.06948067839268,Hold,0,1,5,100
25.3189593942171,Hold,0,1,6,-100
10.7502184122193,Hold,0,1,7,100
-61.5740586017329,Hold,0,1,8,-100
126.085923588582,Hold,0,1,9,100
-12.5315394012553,Hold,0,1,10,-100
-23.7390807647157,Hold,0,1,11,100
-35.4576865300525,Hold,0,1,12,-100
35.9952523163103,Hold,0,1,13,100
101.966727098659,Hold,0,1,14,-100
63.9406314506548,Hold,0,1,16,100
79.253918405183,Hold,0,1,17,100
44.7661016977285,Hold,0,1,18,-100
-93.9660765644431,Hold,0,1,19,100
34.3224251205015,Hold,0,1,20,-100
63.5627874199138,Hold,0,1,1,-100
-19.0806574187474,Hold,0,1,3,-100
18.978156783318,Hold,0,1,4,100
42.1972817695069,Hold,0,1,5,100
-6.91891985328058,Hold,0,1,6,-100
90.4225176886415,Hold,0,1,7,100
-66.7432544624977,Hold,0,1,8,-100
175.412564521777,Hold,0,1,9,100
15.0867651877248,Hold,0,1,10,-100
13.327829485876,Hold,0,1,11,100
-140.287655138795,Hold,0,1,12,-100
-3.6602037975958,Hold,0,1,15,100
36.743534730754,Hold,0,1,16,100
-21.6267833268778,Hold,0,1,17,100
15.0267962099852,Hold,0,1,18,-100
-37.5419822568666,Hold,0,1,19,100
27.9099443849507,Hold,0,1,20,-100
56.4381657581107,Hold,0,1,1,-100
47.6107102271059,Hold,0,1,2,100
